date,value
2016-08-31,4771.05
2016-09-01,4783.94
2016-09-02,4798.74
2016-09-06,4829.51
2016-09-07,4831.86
2016-09-08,4804.0
2016-09-09,4681.53
2016-09-12,4764.65
2016-09-13,4722.84
2016-09-14,4746.06
2016-09-15,4819.9
2016-09-16,4818.05
2016-09-19,4796.07
2016-09-20,4805.22
2016-09-21,4853.75
2016-09-22,4891.36
2016-09-23,4858.91
2016-09-26,4817.17
2016-09-27,4866.71
2016-09-28,4875.27
2016-09-29,4838.3
2016-09-30,4875.7
2016-10-03,4866.63
2016-10-04,4859.47
2016-10-05,4877.75
2016-10-06,4873.92
2016-10-07,4864.52
2016-10-10,4893.77
2016-10-11,4821.91
2016-10-12,4819.63
2016-10-13,4803.1
2016-10-14,4808.49
2016-10-17,4796.17
2016-10-18,4839.72
2016-10-19,4836.61
2016-10-20,4832.71
2016-10-21,4851.86
2016-10-24,4909.97
2016-10-25,4891.45
2016-10-26,4860.59
2016-10-27,4836.45
2016-10-28,4805.59
2016-10-31,4801.27
2016-11-01,4766.94
2016-11-02,4726.91
2016-11-03,4679.1
2016-11-04,4660.46
2016-11-07,4773.73
2016-11-08,4804.92
2016-11-09,4825.18
2016-11-10,4747.03
2016-11-11,4751.95
2016-11-14,4702.04
2016-11-15,4764.47
2016-11-16,4792.27
2016-11-17,4826.59
2016-11-18,4808.04
2016-11-21,4859.0
2016-11-22,4873.84
2016-11-23,4853.86
2016-11-25,4870.02
2016-11-28,4857.02
2016-11-29,4873.21
2016-11-30,4810.81
2016-12-01,4734.1
2016-12-02,4739.37
2016-12-05,4778.14
2016-12-06,4788.67
2016-12-07,4851.94
2016-12-08,4859.19
2016-12-09,4895.9
2016-12-12,4874.3
2016-12-13,4935.84
2016-12-14,4921.22
2016-12-15,4933.41
2016-12-16,4914.86
2016-12-19,4934.85
2016-12-20,4953.8
2016-12-21,4948.9
2016-12-22,4934.39
2016-12-23,4940.02
2016-12-27,4965.81
2016-12-28,4926.29
2016-12-29,4918.28
2016-12-30,4863.62
2017-01-03,4911.33
2017-01-04,4937.2
2017-01-05,4964.95
2017-01-06,5007.08
2017-01-09,5024.9
2017-01-10,5035.17
2017-01-11,5050.21
2017-01-12,5041.43
2017-01-13,5059.51
2017-01-17,5044.65
2017-01-18,5055.85
2017-01-19,5051.17
2017-01-20,5063.2
2017-01-23,5065.7
2017-01-24,5101.06
2017-01-25,5151.47
2017-01-26,5156.92
2017-01-27,5168.06
2017-01-30,5129.33
2017-01-31,5116.77
2017-02-01,5152.69
2017-02-02,5147.7
2017-02-03,5161.6
2017-02-06,5167.96
2017-02-07,5185.88
2017-02-08,5196.58
2017-02-09,5212.16
2017-02-10,5226.69
2017-02-13,5256.82
2017-02-14,5271.07
2017-02-15,5302.39
2017-02-16,5300.64
2017-02-17,5324.72
2017-02-21,5350.73
2017-02-22,5352.13
2017-02-23,5332.37
2017-02-24,5343.31
2017-02-27,5347.55
2017-02-28,5330.31
2017-03-01,5390.99
2017-03-02,5363.26
2017-03-03,5373.48
2017-03-06,5360.31
2017-03-07,5351.28
2017-03-08,5359.8
2017-03-09,5363.98
2017-03-10,5385.9
2017-03-13,5394.57
2017-03-14,5382.17
2017-03-15,5416.25
2017-03-16,5412.08
2017-03-17,5408.76
2017-03-20,5413.31
2017-03-21,5332.53
2017-03-22,5367.55
2017-03-23,5355.14
2017-03-24,5364.0
2017-03-27,5374.27
2017-03-28,5407.21
2017-03-29,5430.27
2017-03-30,5439.74
2017-03-31,5436.23
2017-04-03,5432.2
2017-04-04,5440.41
2017-04-05,5418.52
2017-04-06,5420.88
2017-04-07,5418.37
2017-04-10,5421.68
2017-04-11,5398.4
2017-04-12,5377.03
2017-04-13,5353.59
2017-04-17,5399.2
2017-04-18,5391.66
2017-04-19,5399.64
2017-04-20,5443.53
2017-04-21,5442.05
2017-04-24,5508.03
2017-04-25,5548.19
2017-04-26,5541.09
2017-04-27,5571.28
2017-04-28,5583.53
2017-05-01,5629.63
2017-05-02,5644.07
2017-05-03,5625.16
2017-05-04,5626.32
2017-05-05,5646.09
2017-05-08,5659.07
2017-05-09,5678.31
2017-05-10,5681.68
2017-05-11,5674.22
2017-05-12,5686.81
2017-05-15,5704.48
2017-05-16,5724.44
2017-05-17,5580.55
2017-05-18,5626.31
2017-05-19,5651.56
2017-05-22,5699.4
2017-05-23,5703.35
2017-05-24,5730.3
2017-05-25,5778.37
2017-05-26,5788.36
2017-05-30,5794.63
2017-05-31,5788.8
2017-06-01,5816.51
2017-06-02,5881.46
2017-06-05,5878.12
2017-06-06,5856.77
2017-06-07,5877.59
2017-06-08,5885.3
2017-06-09,5741.94
2017-06-12,5708.18
2017-06-13,5751.82
2017-06-14,5727.07
2017-06-15,5700.89
2017-06-16,5681.48
2017-06-19,5772.22
2017-06-20,5726.31
2017-06-21,5782.39
2017-06-22,5779.87
2017-06-23,5803.11
2017-06-26,5777.59
2017-06-27,5671.6
2017-06-28,5753.03
2017-06-29,5653.02
2017-06-30,5646.92
2017-07-03,5596.96
2017-07-05,5648.82
2017-07-06,5597.9
2017-07-07,5656.47
2017-07-10,5694.15
2017-07-11,5709.8
2017-07-12,5778.95
2017-07-13,5793.36
2017-07-14,5838.08
2017-07-17,5839.74
2017-07-18,5880.1
2017-07-19,5916.16
2017-07-20,5921.22
2017-07-21,5921.52
2017-07-24,5941.37
2017-07-25,5930.65
2017-07-26,5950.73
2017-07-27,5917.03
2017-07-28,5908.92
2017-07-31,5880.33
2017-08-01,5895.17
2017-08-02,5914.23
2017-08-03,5891.2
2017-08-04,5899.91
2017-08-07,5934.73
2017-08-08,5926.35
2017-08-09,5919.39
2017-08-10,5788.19
2017-08-11,5831.53
2017-08-14,5908.17
2017-08-15,5907.73
2017-08-16,5917.42
2017-08-17,5796.32
2017-08-18,5790.91
2017-08-21,5786.54
2017-08-22,5873.33
2017-08-23,5851.78
2017-08-24,5834.44
2017-08-25,5822.53
2017-08-28,5838.08
2017-08-29,5862.14
2017-08-30,5932.9
2017-08-31,5988.6
2017-09-01,5987.9
2017-09-05,5932.73
2017-09-06,5951.13
2017-09-07,5964.31
2017-09-08,5913.37
2017-09-11,5980.53
2017-09-12,5995.64
2017-09-13,6004.38
2017-09-14,5968.82
2017-09-15,5988.0
2017-09-18,5981.12
2017-09-19,5991.08
2017-09-20,5973.6
2017-09-21,5934.91
2017-09-22,5932.32
2017-09-25,5867.35
2017-09-26,5881.34
2017-09-27,5937.79
2017-09-28,5933.07
2017-09-29,5979.3
2017-10-02,5981.92
2017-10-03,5995.06
2017-10-04,5998.84
2017-10-05,6057.14
2017-10-06,6064.57
2017-10-09,6058.53
2017-10-10,6063.52
2017-10-11,6081.25
2017-10-12,6069.99
2017-10-13,6092.45
2017-10-16,6114.53
2017-10-17,6122.61
2017-10-18,6114.35
2017-10-19,6092.62
2017-10-20,6108.82
2017-10-23,6067.83
2017-10-24,6080.22
2017-10-25,6055.04
2017-10-26,6037.87
2017-10-27,6213.47
2017-10-30,6227.59
2017-10-31,6248.56
